"memory_file","key","old_value","new_value","action"
"ProductModelMemory_CS.csv","Tričko s dlouhým rukávem ANDRO Scalzo","Scalzo s dlouhým rukávem","","previously_rejected"
"ProductModelMemory_CS.csv","Tréningové lopty SpinWay 6 ks","Fireball 40+ 6 ks","","previously_rejected"
"ProductModelMemory_CS.csv","Tréningové lopty SpinWay 60 ks","Tréninkové 60ks","","previously_rejected"
"ProductModelMemory_CS.csv","Tréningové tričko SpinWay","Tréningové","","previously_rejected"
"ProductModelMemory_CS.csv","Tréningové tričko SpinWay dámske","Tréningové dámské","","previously_rejected"
"ProductModelMemory_CS.csv","Ultra útočné kombo","Ultra útočné","","previously_rejected"
"ProductModelMemory_CS.csv","Umrandung neutral 90cm blau","Neutral 90cm","","previously_rejected"
"ProductModelMemory_CS.csv","Uterák SpinWay","na stolní tenis","","previously_rejected"
"ProductModelMemory_CS.csv","VICTAS Holz Award Allround Light  konkav","Award Allround Light","","previously_rejected"
"ProductModelMemory_CS.csv","VICTAS V > 22 Double Extra","V > 22 Double Extra","","previously_rejected"
"ProductModelMemory_CS.csv","Valec na lepenie Tibhar","na lepení","","previously_rejected"
"ProductModelMemory_CS.csv","Victas - V 01","V 01","","previously_rejected"
"ProductModelMemory_CS.csv","Victas - V 01 Limber","V 01 Limber","","previously_rejected"
"ProductModelMemory_CS.csv","Victas - V 01 Stiff","V 01 Stiff","","previously_rejected"
"ProductModelMemory_CS.csv","Victas - V15 Limber","V15 Limber","","previously_rejected"
"ProductModelMemory_CS.csv","Victas - VS 402 Double Extra","VS 402 Double Extra","","previously_rejected"
"ProductModelMemory_CS.csv","XIOM - Lepidlo Energy 50 ml","Energy 50 ml","","previously_rejected"
"ProductModelMemory_CS.csv","XIOM - Omega 7 EU","Omega 7 EU","","previously_rejected"
"ProductModelMemory_CS.csv","XIOM Kantenband Logo 12mm/50m schwarz","Logo 12mm/50m","","previously_rejected"
"ProductModelMemory_CS.csv","XIOM Kantenband Logo 12mm/5m schwarz","Logo 12mm/5m","","previously_rejected"
"ProductModelMemory_CS.csv","XIOM Kantenband Mandarin 12mm/50m schwarz/gold","Mandarin 12mm/50m","","previously_rejected"
"ProductModelMemory_CS.csv","XIOM Kantenband Plain 12mm/50m schwarz/gold","Plain 12mm/50m","","previously_rejected"
"ProductModelMemory_CS.csv","XIOM Schuh FT Igre blau 9,0","FT Igre blau 9,0","","previously_rejected"
"ProductModelMemory_CS.csv","XIOM Schuh FT Igre blau 9,5","FT Igre blau 9,5","","previously_rejected"
"ProductModelMemory_CS.csv","Xiom-I Clean Sponge (100 ml)","I Clean Sponge 100 ml","","previously_rejected"
"ProductModelMemory_CS.csv","Xiom-Lepidlo Energy (200 ml)","Energy 200ml","","previously_rejected"
"ProductModelMemory_CS.csv","Xiom-Lepidlo Energy (50 ml)","Energy 50 ml","","previously_rejected"
"ProductModelMemory_CS.csv","Xiom-Omega III EU","Omega III EU","","previously_rejected"
"ProductModelMemory_CS.csv","Yasaka - Shining Dragon II","Shining Dragon II","","previously_rejected"
"ProductModelMemory_CS.csv","Yasaka-Mark V.","Mark V.","","previously_rejected"
"ProductModelMemory_CS.csv","Yasaka-Mark V. GPS","Mark V. GPS","","previously_rejected"
"ProductModelMemory_CS.csv","Yasaka-Mark V. M2","Mark V. M2","","previously_rejected"
"ProductModelMemory_CS.csv","Yasaka-Mark V. XS","Mark V. XS","","previously_rejected"
"ProductModelMemory_CS.csv","Yinhe - H40+ T.T.Ball","H 40+ ***","","previously_rejected"
"ProductModelMemory_CS.csv","Zimní čepice VICTAS 522","Zimní 522","","previously_rejected"
"ProductModelMemory_CS.csv","andro Balltasche Munro schwarz","Munro na míčky","","previously_rejected"
"ProductModelMemory_CS.csv","andro Belagschutzfolie","ochranná","","previously_rejected"
"ProductModelMemory_CS.csv","andro Free Seal 25 g","Free Seal 25 g","","previously_rejected"
"ProductModelMemory_CS.csv","andro Holz Inizio Blue OFF konkav","Inizio Blue OFF","","previously_rejected"
